11,0,0,9,0,10,0,5,14,0,6,0,2,0,0,16
0,2,5,0,4,0,15,0,0,11,0,12,0,13,6,0
0,13,14,0,0,16,11,0,0,9,15,0,0,3,8,0
1,0,0,0,0,6,0,0,0,0,4,0,0,0,0,14
0,15,0,0,6,1,9,0,0,8,10,7,0,0,14,0
14,0,2,1,7,0,10,4,3,5,0,11,6,15,0,9
0,7,9,0,14,15,0,11,16,0,13,2,0,1,4,0
4,0,0,0,0,2,16,0,0,15,9,0,0,0,0,10
8,0,0,0,0,7,4,0,0,13,5,0,0,0,0,3
0,10,16,0,5,11,0,9,6,0,3,4,0,14,1,0
5,0,3,7,16,0,2,13,15,14,0,10,4,8,0,11
0,9,0,0,3,14,1,0,0,2,16,8,0,0,10,0
9,0,0,0,0,5,0,0,0,0,11,0,0,0,0,13
0,11,10,0,0,4,7,0,0,12,8,0,0,9,5,0
0,5,4,0,11,0,14,0,0,3,0,15,0,10,12,0
3,0,0,8,0,9,0,10,5,0,14,0,11,0,0,15
