2,9,0,4,5,13,0,7,14,0,6,12,11,0,8,10
0,0,10,0,4,9,0,14,5,0,16,13,0,6,0,0
16,5,15,0,0,12,1,6,2,11,8,0,0,13,7,4
13,0,0,0,0,0,11,0,0,4,0,0,0,0,0,5
0,8,0,6,0,0,4,12,3,7,0,0,5,0,10,0
11,0,0,0,0,14,0,0,0,0,4,0,0,0,0,2
5,3,0,2,7,0,6,0,0,16,0,14,9,0,15,12
0,0,16,12,3,0,0,0,0,0,0,11,6,4,0,0
0,0,9,1,11,0,0,0,0,0,0,16,8,10,0,0
10,2,0,11,8,0,12,0,0,13,0,15,1,0,4,16
8,0,0,0,0,1,0,0,0,0,10,0,0,0,0,6
0,16,0,5,0,0,14,13,1,9,0,0,15,0,12,0
3,0,0,0,0,0,5,0,0,6,0,0,0,0,0,15
1,14,8,0,0,3,10,11,4,2,13,0,0,16,6,9
0,0,5,0,9,6,0,1,7,0,11,3,0,2,0,0
9,6,0,13,14,2,0,15,16,0,12,10,4,0,3,1
