1,2,3,4,5,6,7,8,0,10,11,12,0,14,15,16
0,0,0,0,0,10,0,0,13,0,0,16,1,2,3,4
9,0,11,12,13,14,15,0,1,0,3,0,5,6,0,8
13,14,15,16,1,0,0,0,0,10,0,0,0,0,0,0
2,0,4,0,6,0,0,9,10,11,0,13,14,15,16,1
6,7,8,9,10,11,0,13,0,15,16,0,0,0,0,5
10,11,12,13,14,15,16,1,2,3,4,5,6,0,8,9
14,15,16,1,2,0,0,5,6,7,8,9,10,11,0,0
3,4,5,6,7,8,9,10,11,0,0,0,15,16,1,2
7,8,9,0,0,12,13,14,15,16,1,0,3,4,5,6
11,12,13,14,15,0,0,2,0,4,5,6,7,8,9,10
15,16,1,2,3,4,5,6,7,0,0,10,11,12,13,14
4,5,6,7,8,9,10,11,0,13,14,15,16,1,2,3
8,9,10,11,12,13,14,15,16,1,2,3,4,0,6,7
12,13,14,15,16,1,0,3,4,5,6,7,8,9,10,11
16,1,2,3,4,5,6,7,0,9,10,11,12,13,14,15
