14,8,0,9,0,0,7,15,0,0,1,0,0,12,0,0
12,4,10,13,0,16,1,0,3,14,9,0,0,11,0,2
16,0,0,1,0,0,0,4,2,0,7,0,9,0,0,0
11,15,0,7,3,0,9,8,10,12,13,4,0,16,0,5
0,0,0,0,12,13,0,11,0,1,0,0,0,5,0,0
10,11,0,0,0,15,16,1,0,0,0,5,6,7,8,0
0,0,14,15,16,1,2,0,0,5,8,7,0,0,0,9
0,0,1,2,0,0,6,7,8,9,10,11,0,13,14,15
0,14,0,0,0,0,15,16,1,0,3,0,0,6,7,8
3,5,6,0,7,0,10,11,12,13,14,15,16,1,0,0
0,0,11,0,0,0,0,6,7,8,9,10,11,0,0,14
0,0,15,16,1,2,3,0,0,0,0,0,0,4,5,6
4,6,7,8,9,10,0,13,14,0,16,1,2,3,0,0
0,1,2,3,4,5,6,0,0,0,0,0,0,8,9,10
0,0,0,4,0,11,12,10,13,16,0,0,5,9,0,0
15,10,9,6,13,7,8,12,4,11,2,3,14,16,1,0
