12,0,0,0,0,7,13,0,0,9,16,0,0,0,0,3
16,9,2,0,0,3,0,12,15,0,4,0,0,6,13,7
7,11,0,0,0,2,0,0,0,0,10,0,0,0,12,1
0,4,0,1,6,16,8,0,0,12,11,3,2,0,10,0
0,2,7,0,0,0,0,11,3,0,0,0,0,1,6,0
10,1,0,0,14,0,4,0,0,6,0,8,0,0,3,12
5,16,11,0,9,6,3,0,0,7,1,13,0,10,4,14
0,12,0,0,0,0,0,13,11,0,0,0,0,0,2,0
0,13,0,0,0,0,0,3,10,0,0,0,0,0,15,0
2,3,16,0,15,9,1,0,0,4,13,11,0,5,7,6
11,6,0,0,2,0,16,0,0,15,0,1,0,0,9,4
0,14,10,0,0,0,0,4,9,0,0,0,0,16,8,0
0,5,0,4,13,14,9,0,0,11,7,6,12,0,16,0
13,15,0,0,0,11,0,0,0,0,14,0,0,0,1,8
3,7,6,0,0,12,0,16,1,0,9,0,0,14,11,10
9,0,0,0,0,4,2,0,0,16,3,0,0,0,0,13
